Site Name	Program Type	Lattitude	Longitude	Address Line1	Address Line2	City	State	Zip	County	OneDay	OpenDate	CloseDate	Active	Active Date	OpenToPublic	Appointment	ApptPhone	EFile	StateEFile	SERPLanguage	Days & Hours of Operation	Additional Info
Rome-Floyd County Library	AARP 	34.2585462	-85.168321	205 Riverside Pkwy		Rome	GA	30161	Floyd	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7062340931	TRUE	TRUE	English	"Mon 1:00 pm - 4:00 pm, Sat 10:00 am - 2:00 pm"	
Roswell Adult Rec Center	AARP 	34.0194051	-84.3456057	830 Grimes Bridge Rd		Roswell	GA	30075	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7706413950	TRUE	TRUE	English	Fri 8:30 am - 12:30 pm	 Info: Photo ID and SS card (including all dependents) required for service. Blank check required for auto deposit Please bring last years tax return
Roswell Public Library	AARP 	34.024517	-84.357818	115 Norcross St		Roswell	GA	30075	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7706403075	TRUE	TRUE	English	Mon 12:30 pm - 4:00 pm	" Info: Please bring all pertinent tax documents including a copy of the previous years return, a picture ID and a SS Card if a new client at this site. LAST TAX RETURN PREPARATION BEGINS @ 3:30!!! DIRECT DEPOSIT REQUIRES Y"
Roswell UMC Building D	AARP 	34.021739	-84.363754	846 Mimosa Blvd		Roswell	GA	30075	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4702534641	TRUE	TRUE	English	Sat 9:00 am - 1:00 pm	" Info: You must bring photo ID, Social Security cards for yourself & all dependents, current tax forms & supporting documents, & a copy of last year's return. For direct deposit of refund, please bring your checkbook. No a"
Senior Adult Center	AARP 	34.2608622	-85.1337815	1325 Kingston Rd Ne		Rome	GA	30161	Floyd	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7062340931	TRUE	TRUE	English	Wed 1:00 pm - 4:00 pm	
Snellville Senior Center	AARP 	33.8574339	-84.0156041	2350 Oak Rd		Snellville	GA	30078	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7709853580	TRUE	TRUE	English	"Mon, Thurs 9:15 am - 12:15 pm"	
Sowega Council On Aging/rsvp	AARP 	31.5861353	-84.1545969	335 W Society Ave		Albany	GA	31701	Dougherty	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	2294321124	TRUE	TRUE	English	Mon - Tues 9:00 am - 3:00 pm	 Info: BY APPT ONLY.
Spout Springs Library	AARP 	34.1520933	-83.8936695	6488 Spout Springs Rd		Flowery Branch	GA	30542	Hall	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705323311	TRUE	TRUE	English	Wed 10:00 am - 2:00 pm	 Info: First come first serve.
St Lukes Episcopal Church	AARP 	34.8632837	-84.320344	7 Ewing St		Blue Ridge	GA	30513	Fannin	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7066328245	TRUE	TRUE	English	Fri 9:00 am - 1:00 pm	
Stallings Community Center	AARP 	33.578807	-85.069915	118 S White St		Carrollton	GA	30117	Carroll	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7708321161	TRUE	TRUE	English	Thurs 9:00 am - 1:00 pm	" Info: Please bring all tax paper work including Social Security card, official ID with picture(ex: driver's license) and last year's tax return."
Stone Mountainsue Kellogg Library	AARP 	33.80638	-84.1710716	952 Leon St		Stone Mountain	GA	30083	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7704132020	TRUE	TRUE	English	"Tues, Thurs 10:00 am - 2:00 pm"	 Info: No New Tax Returns will be started after 1:30 PM.
The Active Life/Troup County S	AARP 	33.036682	-85.00595	140 Ragland St		Lagrange	GA	30241	Troup	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7068831681	TRUE	TRUE	English	Mon- Thurs 9:00 am - 3:00 pm 	Info: Please schedule appointments at 706-883-1681. Troup County Senior Center is only open to clients 55 and older. Last day is 4/15.
The Bridge Church	AARP 	34.5906191	-83.7371097	976 E Kytle St (hwy 115)		Cleveland	GA	30528	White	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7063487423	TRUE	TRUE	English	Thurs 9:00 am - 12:00 pm	
Thomas County Public Library	AARP 	30.837917	-83.983016	201 N Madison St		Thomasville	GA	31792	Thomas	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE		TRUE	TRUE	2292255252	TRUE	TRUE	English	Wed 10:00 am - 4:00 pm	
Thomas Public Library	AARP 	32.5510465	-83.8836642	315 Martin Luther King Jr Dr		Fort Valley	GA	31030	Peach	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4788251640	TRUE	TRUE	English	Wed 10:00 am - 4:00 pm	
Toco Hillavis G Williams Library	AARP 	33.809482	-84.306936	1282 Mcconnell Dr		Decatur	GA	30033	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4046794404	TRUE	TRUE	English	"Wed, Fri 10:00 am - 1:00 pm"	
United Way Of Forsyth County	AARP 	34.213836	-84.138023	240 Elm St		Cumming	GA	30040	Forsyth	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE		TRUE	TRUE	7707814110	TRUE	TRUE	English	Call for hours.	"Site will be open 7 times during tax season. Saturdays, 2/14, 3/7 & 4/11. 9 to 1 Wednesdays, 2/25 & 3/18. 3:30 to 7:30 Thursday 3/26, 9 to 1 Thursday 4/2, 3:30 to 7:30 By appointment only"
Victor Lord Park	AARP 	33.9833897	-83.7192146	175 2nd St		Winder	GA	30680	Barrow	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7708672336	TRUE	TRUE	English	"Tues 9:00 am - 1:00 pm, Wed 9:00 am - 12:30 pm "	Info: This site is open on Tuesdays through out the tax season and on Wednesday in Feb. & Mar.
Warner Robins Senior Activity	AARP 	32.620895	-83.610366	152 Maple St		Warner Robins	GA	31093	Houston	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4783220269	TRUE	TRUE	English	Mon-Fri 10:00 am - 4:00 pm	 Info: Returns not due until 4/16/2012 due to a holiday so we will be open that Monday
Warren Sewell Memorial Library	AARP 	33.724891	-85.14743	315 Hamilton Ave		Bremen	GA	30110	Haralson	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705373937	TRUE	TRUE	English	Call for hours.	The following dates are the Friday's that we will be at the Bremen Library from 9am til 1pm February 13th and 27th March 13th and 27th April 10th
West Cobb Library	AARP 	33.9985013	-84.7025339	1750 Dennis Kemp Ln Nw		Kennesaw	GA	30152	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705284699	TRUE	TRUE	English	Thurs 11:30 am - 3:30 pm 	Info: NO RETURN STARTED AFTER 3 PM
West Cobb Senior Center	AARP 	33.943169	-84.696377	4915 Dallas Hwy		Powder Springs	GA	30127	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705288200	TRUE	TRUE	English	Wed 10:00 am - 2:00 pm	 Info: NO RETURN STARTED AFTER 1:30 PM
White County Public Library/Helen	AARP 	34.7028145	-83.7309587	90 Petes Park Rd		Helen	GA	30545	White	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE		TRUE	TRUE	7068782438	TRUE	TRUE	English	Thurs 1:00 pm - 5:00 pm	 Info: BY APPT ONLY
Wolfe Adult Recreation Center	AARP 	33.8811949	-84.5279456	884 Church St Se		Smyrna	GA	30080	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	6786315541	TRUE	TRUE	English	Wed 10:00 am - 2:00 pm	 Info: NO RETURN STARTED AFTER 1:30 PM
Woodstock Library	AARP 	34.1131785	-84.5153345	7735 Main St		Woodstock	GA	30188	Cherokee	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8004242277	TRUE	TRUE	English	Thurs 12:00 pm - 4:00 pm	
Conyersrockdale Library System	AARP 	33.665077	-84.017463	864 Green St Sw		Conyers	GA	30012	Rockdale	FALSE	2/2/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon, Wed 10:30 am - 1:30 pm"	 Info: E-FILING AVAILABLE: CONYERS UNIT Photo ID and SS card (including all dependants) required for service. Blank check required for auto deposit Please bring last years tax return
Euchee Creek Library	AARP 	33.4763644	-82.264697	5907 Euchee Creek Dr		Grovetown	GA	30813	Columbia	FALSE	2/2/15 0:00	4/13/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7065560594	TRUE	TRUE	English	Mon 9:30 am - 2:00 pm	
Kirkwood Library	AARP 	33.7515771	-84.3216046	11 Kirkwood Rd Ne		Atlanta	GA	30317	DeKalb	FALSE	2/2/15 0:00	4/13/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4043776471	TRUE	TRUE	English	Mon 10:30 am - 2:45 pm	 Info: * Plan to arrive no later than 1:45 PM. * Find other Atlanta locations with different open hours at: www.aarp.org.
Mechanicsville Library	AARP 	33.7434366	-84.3956155	400 Formwalt St Sw		Atlanta	GA	30312	Fulton	FALSE	2/2/15 0:00	4/13/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4047304779	TRUE	TRUE	English	Mon 12:00 pm - 4:00 pm 	Info: SITE OPEN ONLY ON FOLLOWING MONDAYS: February 2nd and 16th March 9th and 30th April 13th PLEASE BRING PRIOR YEAR'S RETURN!
Duluth Parks Recreation	AARP 	34.0007383	-84.1218176	3180 Bunten Rd		Duluth	GA	30096	Gwinnett	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7708146981	TRUE	TRUE	English	"Tues, Thurs 12:00 pm - 3:00 pm"	 Info: Please bring Photo ID and copies of prior federal and Georgia tax returns. Walk-ins welcome.
First United Methodist Church	AARP 	33.9552727	-83.9963226	395 W Crogan St		Lawrenceville	GA	30046	Gwinnett	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7706828639	TRUE	TRUE	English	"Tues, Thurs 8:45 am - 12:00 pm"	" Info: Parking lot ""A"" at the back of the building (Children's Center). Use elevator to 3rd floor. No phone calls, please."
Live Oak Public Library-Bull St	AARP 	32.0578842	-81.0999303	2002 Bull St		Savannah	GA	31401	Chatham	FALSE	2/3/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8882277669	TRUE	TRUE	English	Tues - Thurs 10:00 am - 3:00 pm	"Info: Open Tuesday, Wednesday and Thursday from 10 AM to 3 PM, starting Tuesday, February 3 and ending Wednesday, April 15."
Live Oak Public Library-SW Chatham	AARP 	31.9828071	-81.1764604	14097 Abercorn St		Savannah	GA	31419	Chatham	FALSE	2/3/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8882277669	TRUE	TRUE	English	Tues - Fri 10:00 am - 3:00 pm	" Info: Closed Mondays Open Tuesday thru Friday from 10:00 AM until 3:00 PM, starting on Tuesday, February 3 and ending on Wednesday, April 15."
Southwest Regional Library	AARP 	33.725143	-84.506858	3665 Cascade Rd Sw		Atlanta	GA	30331	Fulton	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4046996363	TRUE	TRUE	English	"Tues, Thurs 10:00 am - 1:30 pm"	" Info: Each session is limited to the first 30 clients not already seen this year--Bring all necessary documents including income, medical insurance and prior year tax returns"
Spalding County Senior Center	AARP 	33.242624	-84.2497543	885 Memorial Dr		Griffin	GA	30223	Spalding	FALSE	2/3/15 0:00	4/7/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7704674384	TRUE	TRUE	English	Tues 1:00 pm - 5:30 pm	" Info: Also: Butts County Sr Ct Fri, Mar 20 9A-2P, in Jackson. Pike County Sr Ctr Thu, Feb 26 10A-2P in Zebulon. Upson County Civic Ctr Fri Mar 13 and Sat Mar 14 10A-2P in Thomaston. Griffin 1st Assembly of God, Thu Feb 1"
Statesboro-Bulloch County Library	AARP 	32.4453118	-81.7837306	124 S Main St		Statesboro	GA	30458	Bulloch	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8882277669	TRUE	TRUE	English	"Tues, Thurs 9:00 am - 3:00 pm"	" Info: Open on Tuesdays and Thursdays only, from 9:00 AM until 3:00 PM, starting on Tuesday, February 3 through Tuesday, April 14."
Stonecrest Library	AARP 	33.6936646	-84.1109772	3123 Klondike Rd		Lithonia	GA	30038	DeKalb	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7704823828	TRUE	TRUE	English	"Tues, Thurs 10:00 am - 2:00 pm"	" Info: Photo ID, (Dependents SS card) required for service. Blank check required for auto deposit Please bring last years tax return if required for prior year information."
Tifton-Tift County Library	AARP 	31.4548217	-83.5089885	245 Love Ave		Tifton	GA	31794	Tift	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	2293867148	TRUE	TRUE	English	"Tues 9:30am - 5:30 pm, Wed 1:00 pm - 3:30 pm"	 Info: SCHEDULE EXCEPTIONS: Wednesday schedule is only during February. Please sign up at the Library
Cedartown Public Library	AARP 	34.0144598	-85.2530117	245 East Ave		Cedartown	GA	30125	Polk	FALSE	2/4/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	6782461216	TRUE	TRUE	English	Wed 9:00 am - 1:00 pm	 Info: CITY COMPLEX
Dahlonega Senior Center	AARP 	34.528572	-83.97322	266 Mechanicsville Rd		Dahlonega	GA	30533	Lumpkin	FALSE	2/4/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7068643668	TRUE	TRUE	English	Wed 9:00 am - 1:00 pm	" Info: first come, first served basis."
Quality Living Services Inc	AARP 	33.726779	-84.519348	4001 Danforth Rd Sw		Atlanta	GA	30331	Fulton	FALSE	2/4/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4046991686	TRUE	TRUE	English	Wed 10:00 am - 1:00 pm	" Info: Bring all necessary documents including income, health insurance and prior year tax returns"
Roswell Senior Center	AARP 	34.031814	-84.332725	1250 Warsaw Rd		Roswell	GA	30076	Fulton	FALSE	2/4/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7706401583	TRUE	TRUE	English	Wed 9:00 am - 11:30 am	 Info: Walk-Ins Welcomed Please bring Photo ID and Social Security Cards for all taxpayers and dependents. Also bring previous year's tax return as well as all pertinent tax documents. For direct deposits a copy of a check
Fairview Recreation Center	AARP 	33.6066353	-84.1859834	35 Austin Rd		Stockbridge	GA	30281	Henry	FALSE	2/5/15 0:00	4/9/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7704122940	TRUE	TRUE	English	Thurs 9:00 am - 3:00 pm 	Info: Call for appointment at (770) 412-2940. Leave name and telephone number on voice mail.
Jeff Maxwell Library	AARP 	33.4176864	-82.0138621	1927 Lumpkin Rd		Augusta	GA	30906	Richmond	FALSE	2/5/15 0:00	4/11/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7067932020	TRUE	TRUE	English	Thurs - Sat 11:00 am - 3:00 pm	" Info: February 05, 2015 visit the Tax Folks at Jeff Maxwell Library to set up an appointment. After Feb 05, 2014 the Tax Folks will be available every THURSDAY, FRIDAY and SATURDAY 11:"
Trinity Presbyterian Church	AARP 	30.890037	-83.2706105	3501 Bemiss Rd		Valdosta	GA	31605	Lowndes	FALSE	2/5/15 0:00	4/9/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	2292423468	TRUE	TRUE	English	Thurs 9:00 am - 4:00 pm	" Info: No Appointments, First come, First Served."
South Columbus Branch Library	AARP 	32.41529	-84.951728	2034 S Lumpkin Rd		Columbus	GA	31903	Muscogee	FALSE	2/6/15 0:00	4/15/15 0:00	TRUE		TRUE	FALSE	7066838805	TRUE	TRUE	English	Fri 10:00 am - 1:00 pm	 Info: Appointments made at front desk of Library. No phone appointments will be accepted.
Midway Riceboro Library	AARP 	31.8100109	-81.4952469	939 East Oglethorpe Highway		Midway	GA	31320	Liberty	FALSE	2/7/15 0:00	4/11/15 0:00	TRUE		TRUE	FALSE	8882277669	TRUE	TRUE	English	Sat 10:00 am - 03:00 pm	" Info: The site will be open ONLY on Saturdays from 10:00AM until 3:00PM, starting February 7 and ending April 11."
Mildred L Terry Library	AARP 	32.458332	-84.987205	640 Veterans Pkwy		Columbus	GA	31901	Muscogee	FALSE	2/9/15 0:00	4/15/15 0:00	TRUE		TRUE	FALSE	7062432782	TRUE	TRUE	English	Mon 10:00 am - 1:00 pm	 Info: Every Monday except Feb 16th. Appointments made at front desk of Library. No phone appointments will be accepted.
Family Advancement Ministries -FSA	FSA Stand-Alone	32.83813	-83.637695	538 Orange Street		Macon	GA	31201	Bibb	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	4787469803	TRUE	TRUE	English		
Rockdale Emergency Relief	VITA 	33.6473183	-83.9972719	350 Talls Oak Drive SE		Conyers	GA	30013	Rockdale	FALSE	2/4/15 0:00	4/11/15 0:00	FALSE		TRUE	FALSE		TRUE	TRUE	English	"Wed, Fri 1:00 pm - 4:00 pm, Sat 10:00 am - 1:00 pm"	
Turner Chapel AME Church	VITA 	33.958765	-84.5370859	492 North Marietta Pkwy NE		Marietta	GA	30060	Cobb	FALSE	1/19/15 0:00	4/13/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE	6783959107	TRUE	TRUE	English	"Mon, Thurs  12:00 pm - 7:00 pm, Fri - Sat 10:00 am - 2:00 pm"	
Britt David VITA	VITA 	32.528579	-84.950332	2801 W Britt David Rd		Columbus	GA	31909	Muscogee	FALSE	1/20/15 0:00	12/18/15 0:00	TRUE	12/4/14 0:00	TRUE	FALSE	7063220357	TRUE	TRUE	English	"Mon, Wed 9:00 am to 5:00 pm, Tue, Thurs 9:00 am - 7:00 pm, Fri - Sat 3:00 pm  - 6:00 pm"	
Goodwill Industries of the Southern Rivers Columbus	VITA 	32.485137	-84.941764	2601 Cross Country Drive	Bldg A	Columbus	GA	31906	Muscogee	FALSE	1/20/15 0:00	12/31/15 0:00	TRUE	1/15/14 0:00	TRUE	FALSE	7063244366	TRUE	TRUE	"English,Spanish"	"Mon 1:00 pm - 5:00 pm, Tue - Thurs 10:00 am - 7:00 pm, Fri 10:00 am - 5:00 pm, Sat 9:00 am - 3:00 pm"	Mon 1:00PM to 5:00PM Appointment only for amended and prior year Returns. E-File: Yes Tue 10:00AM to 7:00PM Walk-ins current year returns only. After 04/18/2015 t/p must call for an appointment. E-File: Yes Wed 10:00AM to 7:00PM Walk-ins current year returns only. After 04/18/2015 t/p must call for an appointment. E-File: Yes Thu 10:00AM to 7:00PM Walk-ins current year returns only. After 04/18/2015 t/p must call for an appointment. E-File: Yes Fri 10:00AM to 5:00PM Walk-ins current year returns only. After 04/18/2015 t/p must call for an appointment. E-File: Yes Sat 9:00AM to 3:00PM Walk-ins current year returns only. Closed after 04/18/2015. E-File: Yes
Goodwill Southern Rivers Newnan	VITA 	33.391738	-84.7695932	228 Bullsboro Drive	Building A	Newnan	GA	30263	Coweta	FALSE	1/20/15 0:00	11/16/15 0:00	TRUE	12/4/14 0:00	TRUE	FALSE	6784233562	TRUE	TRUE	"English,Spanish"	"Tues - Thurs 9:00 am - 5:00 pm, Fri 9:00 am - 2:00 pm, Sat 10:00 am - 2:00 pm"	Tue 9:00AM to 5:00PM Appointment only after filing season. No Military! E-File: Yes Wed 9:00AM to 5:00PM Appointment only after filing season. No Military! E-File: Yes Thu 9:00AM to 5:00PM Appointment only after filing season. No Military! E-File: Yes Fri 9:00AM to 2:00PM Appointment only after filing season. No Military! E-File: Yes Sat 10:00AM to 2:00PM Only open during tax season. E-File: Yes
Greenbriar Mall Site	VITA 	33.686573	-84.498031	2841 Greenbriar Pkwy. Sw		Atlanta	GA	30331	Fulton	FALSE	1/20/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon - Fri 10:00 am - 6:00 pm 	
Gwinnett Village Community Alliance	VITA 	33.919075	-84.2094955	5855 Jimmy Carter Boulevard	Suite 122	Norcross	GA	30071	Gwinnett	FALSE	1/20/15 0:00	4/14/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	7704496515	TRUE	TRUE	"English,Spanish"		
St. Vincent De Paul	VITA 	33.8861618	-84.3042068	2050-E Chamblee Tucker Road		Atlanta	GA	30341	Dekalb	FALSE	1/20/15 0:00	4/14/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	6788926160	TRUE	TRUE	English		
The Center For Working Families	VITA 	33.7414069	-84.3982943	"477 Windsor Street, Suite 101"		Atlanta	GA	30312	Fulton	FALSE	1/20/15 0:00	4/16/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE	4042307121	TRUE	TRUE	English	"Mon, Thurs - Fri 10:00 am - 5:00 pm,  Tues, Wed 1:00 pm - 7:00 pm, Sat 9:00 am - 3:00 pm "	
The Family Center	VITA 	32.472553	-84.969833	1350 15Th Ave		Columbus	GA	31901	Muscogee	FALSE	1/20/15 0:00	4/15/15 0:00	TRUE	12/20/13 0:00	TRUE	TRUE	7063273239	TRUE	TRUE	English		
Marion County VITA Site	VITA 	33.55318	-84.007362	20 Gibson Way		Buena Vista	GA	31803	Marion	FALSE	1/22/15 0:00	12/10/15 0:00	TRUE	1/14/15 0:00	TRUE	TRUE	2296493858	TRUE	TRUE	"English,Spanish"		
The Sullivan Center	VITA 	33.7186012	-84.4087448	"643 Dill Avenue, Sw"		Atlanta	GA	30310	Fulton	FALSE	1/22/15 0:00	4/9/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Thurs 9:00 am - 3:00 pm	
Sequoyah Regional Library System	VITA 	34.237972	-84.468902	116 Brown Industrial Parkway		CANTON	GA	30114	Cherokee	FALSE	1/24/15 0:00	4/11/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE	4045092856	TRUE	TRUE	English	"Sat 9:00 am - 5:00 pm, Sun 2:00 pm - 6:00 pm "	"Sun 2:00PM to 6:00PM Woodstock Library, Appointment only. Closed Feb. 15, March 15, & April 5. E-File: Yes Sat 9:00AM to 5:00PM Alternate Saturdays: at Canton (RT Jones) on Jan. 24, Feb. 21, and March 21; at Rose Creek on Jan 31, Feb. 28, & March 28; at Hickory Flat on Feb. 7, March 7 & April 4; at Ellijay on Feb 14, March 14 & April 11. E-File: Yes"
Centro Hispano De Savannah	VITA 	32.049743	-81.151924	1 Gamble Road		Savannah	GA	31405	Chatham	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	"Spanish,English"	Mon - Fri 10:00 am - 5:00 pm	
Chatham County	VITA 	32.07759	-81.091567	124 Bull Street		Savannah	GA	31401	Chatham	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	TRUE	9124475577	TRUE	TRUE	English		
Economic Opportunity Authority	VITA 	32.064302	-81.1048937	618 West Anderson Street		Savannah	GA	31415	Chatham	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon - Fri 10:00 am - 3:00 pm	
Homeless Resource Network Inc.	VITA 	32.4855194	-84.9905396	2221 Second Avenue		Columbus	GA	31902	Muscogee	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	12/23/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon 10:30 am - 12:00 pm, Fri 2:00 pm - 4:00 pm"	
Neighborhood Improvement Association	VITA 	32.0583	-81.09687	1816 Abercorn Street		Savannah	GA	31401	Chatham	FALSE	1/26/15 0:00	10/15/15 0:00	TRUE	12/24/13 0:00	TRUE	FALSE	9124475577	TRUE	TRUE	English	"Mon, Thurs 10:00 am - 8:00 pm"	After April 15 by appointment only 912-447-5577 Prior Return Preparation after 
Savannah Entrepreneurial Center	VITA 	32.0638548	-81.0835225	801 E Gwinnett Street		Savannah	GA	31401	Chatham	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon, Wed 9:00 am - 3:00 pm, Tue, Thurs 1:00 am - 7:00 pm"	
St. Mary's Community Center	VITA 	32.0604477	-81.1091705	812 West 36Th Street		SAVANNAH	GA	31415	Chatham	FALSE	1/26/15 0:00	2/26/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon - Thurs 4:00 pm - 7:00 pm	
United Way Bryan Pembroke Library	VITA 	32.1469469	-81.6121738	1018 Camilla Drive		Pembroke	GA	31321	Bryan	FALSE	1/26/15 0:00	4/1/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon, Wed 10:00 am - 1:00 pm"	"Closed after April 1, 2015 E-File: Yes"
United Way Effingham County	VITA 	32.2991867	-81.2366486	711 Zitterour Road		Rincon	GA	31326	Effingham	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon - Fri 9:00 am - 3:00 pm	
Waycross Mobile VITA	VITA 	31.2204368	-82.3496888	1507 Grove Avenue		WAYCROSS	GA	31501	Ware	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	1/20/15 0:00	TRUE	TRUE	9122870588	TRUE	TRUE	English		
Whitefield Foundation	VITA 	32.0568804	-81.0987293	106 East 37th Street		Savannah	GA	31402	Chatham	FALSE	1/26/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon - Fri 10:00 am - 5:00 pm	
Moses Jackson Ctr	VITA 	32.085234	-81.1180392	1410 Richards Street		Savannah	GA	31415	Chatham	FALSE	1/27/15 0:00	3/26/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Tue 10:00 am - 2:00 pm, Thu 1:00 am - 5:00 pm"	
Coastal Ga Area CAA - BRUNSWICK (CGACAA)	VITA 	31.1814355	-81.4787722	One Community Action Drive		Brunswick	GA	31521	Glynn	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	TRUE	FALSE	9122643281	TRUE	TRUE	English	Mon - Fri 8:30 am - 11:00 am 	
Windsor Forest Community	VITA 	31.9738191	-81.1443859	414 Briarcliff Circle		Savannah	GA	31419	Chatham	FALSE	1/28/15 0:00	3/25/15 0:00	TRUE	1/14/15 0:00	TRUE	FALSE		TRUE	TRUE	English	Wed 10:00 am - 2:00 pm	
